开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
核素治疗区,环境影响报告表公示本,配备,测量周围剂量当量率的仪器,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
患者,环境影响报告表公示本,出院条件,周围剂量当量率,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
应急物资,环境影响报告表公示本,包括,放射性表面去污用品,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
应急物资,环境影响报告表公示本,包括,去污试剂,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
应急物资,环境影响报告表公示本,包括,警戒线,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
辐射防护安全措施,环境影响报告表公示本,对照分析,核技术利用监督检查技术程序,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。
场所分区布局,环境影响报告表公示本,设置于,控制区,环境影响报告表公示本,表10 - 5与非密放射性物质医学应用场所监督检查要求对照分析结果表序号 项目 规定的措施和制度 项目建设情况 对照分析结论根据设计，已按场所功能合理设置并进场所设 场所分区布局是否合理及有无1* 行了分区布局，并在各场所控制区和监 满足施 相应措施/标识督区出入口处设置相应标识53在控制区的入口、铅废物桶/放射性固废2* 电离辐射警告标志 暂存容器表面、各防护
场所分区布局,环境影响报告表公示本,设置于,监督区,环境影响报告表公示本,表10 - 5与非密放射性物质医学应用场所监督检查要求对照分析结果表序号 项目 规定的措施和制度 项目建设情况 对照分析结论根据设计，已按场所功能合理设置并进场所设 场所分区布局是否合理及有无1* 行了分区布局，并在各场所控制区和监 满足施 相应措施/标识督区出入口处设置相应标识53在控制区的入口、铅废物桶/放射性固废2* 电离辐射警告标志 暂存容器表面、各防护
控制区入口,环境影响报告表公示本,设置,电离辐射警告标志,环境影响报告表公示本,表10 - 5与非密放射性物质医学应用场所监督检查要求对照分析结果表序号 项目 规定的措施和制度 项目建设情况 对照分析结论根据设计，已按场所功能合理设置并进场所设 场所分区布局是否合理及有无1* 行了分区布局，并在各场所控制区和监 满足施 相应措施/标识督区出入口处设置相应标识53在控制区的入口、铅废物桶/放射性固废2* 电离辐射警告标志 暂存容器表面、各防护
铅废物桶,环境影响报告表公示本,设置,电离辐射警告标志,环境影响报告表公示本,表10 - 5与非密放射性物质医学应用场所监督检查要求对照分析结果表序号 项目 规定的措施和制度 项目建设情况 对照分析结论根据设计，已按场所功能合理设置并进场所设 场所分区布局是否合理及有无1* 行了分区布局，并在各场所控制区和监 满足施 相应措施/标识督区出入口处设置相应标识53在控制区的入口、铅废物桶/放射性固废2* 电离辐射警告标志 暂存容器表面、各防护
放射性固废暂存容器,环境影响报告表公示本,设置,电离辐射警告标志,环境影响报告表公示本,设置门灯联锁，共4套，详细布置位置见附图 12；门机联锁：拟在平开机房门（SPECT/CT、PET/CT 机房）及控制室门位置设置门机联锁装置，共4套；出院检测：二层核素治疗区拟配备能够测量体内活度的设备或测量周围剂量当量率的仪器，患者出院前将进行监测，待距离患者体表 1m 处的周围剂量当量率不大于 25μSv/h后，方可出院；应急物资：放射性表面去污用品（如抹布、滤纸）、去污试剂、警戒线等应急物资；三、与相关辐射安全与防护监督检查技术程序对照1、与非密放射性物质医学应用场所监督检查要求对照分析本项目拟采取的辐射防护安全措施与生态环境部（国家核安全局）《核技术利用监督检查技术程序》（2020年发布版》相关检查要求对照分析如下表。表10 - 5与非密放射性物质医学应用场所监督检查要求对照分析结果表序号 项目 规定的措施和制度 项目建设情况 对照分析结论根据设计，已按场所功能合理设置并进场所设 场所分区布局是否合理及有无1* 行了分区布局，并在各场所控制区和监 满足施 相应措施/标识督区出入口处设置相应标识53在控制区的入口、铅废物桶/放射性固废2* 电离辐射警告标志 暂存容器表面、各防护
电缆穿墙,环境影响报告表公示本,使用补偿,铅皮,环境影响报告表公示本,道及电缆穿墙采用直穿的方式，并在穿墙前后用 3mm 铅皮进行补偿，不影响机房机体屏蔽效果。
机房防护门,环境影响报告表公示本,减少泄漏,铅板,环境影响报告表公示本,为减少接缝处射线的泄漏，机房防护门两侧铅板搭接宽度大于门缝宽度10倍以上。
